3,1,644.72,377.65,165.11,126.64,1,-1,-1,-1
3,2,432.56,582.37,272.36,170.02,1,-1,-1,-1
3,3,1556.87,752.65,274.36,219.16,1,-1,-1,-1
3,4,1406.37,427.60,221.33,187.61,1,-1,-1,-1
3,5,962.50,223.60,123.14,91.92,1,-1,-1,-1
3,6,1332.96,143.05,74.52,79.55,1,-1,-1,-1
3,7,1403.57,366.80,163.62,118.82,1,-1,-1,-1
3,8,1357.00,227.65,122.75,82.41,1,-1,-1,-1
3,9,690.10,329.07,146.63,98.22,1,-1,-1,-1
3,10,1374.52,279.61,145.73,110.79,1,-1,-1,-1
3,11,1059.58,106.87,78.01,63.21,1,-1,-1,-1
3,12,1310.54,100.60,61.27,55.59,1,-1,-1,-1
3,13,1188.66,82.54,67.08,84.27,1,-1,-1,-1
4,1,645.09,377.34,164.67,126.52,1,-1,-1,-1
4,2,411.50,579.73,264.57,164.74,1,-1,-1,-1
4,3,1557.64,751.66,275.00,220.39,1,-1,-1,-1
4,4,1415.19,435.45,207.26,175.75,1,-1,-1,-1
4,5,960.40,226.92,124.73,93.15,1,-1,-1,-1
4,6,1332.82,142.75,73.75,77.87,1,-1,-1,-1
4,7,1403.90,362.50,163.10,118.30,1,-1,-1,-1
4,8,1358.12,228.04,118.86,79.69,1,-1,-1,-1
4,9,691.53,329.47,143.41,96.04,1,-1,-1,-1
4,10,1373.59,278.52,147.01,111.89,1,-1,-1,-1
4,11,1058.61,106.56,78.84,63.63,1,-1,-1,-1
4,12,1313.39,102.29,57.93,52.19,1,-1,-1,-1
4,13,1193.35,84.55,59.87,74.52,1,-1,-1,-1
4,14,924.90,100.15,77.78,71.75,1,-1,-1,-1
4,15,870.45,176.18,70.15,51.69,1,-1,-1,-1
5,1,645.53,377.23,163.69,126.01,1,-1,-1,-1
5,2,393.32,582.17,255.10,158.84,1,-1,-1,-1
5,3,1558.06,750.55,274.62,220.98,1,-1,-1,-1
5,4,1420.14,439.49,198.49,168.24,1,-1,-1,-1
5,5,958.22,229.58,125.44,93.75,1,-1,-1,-1
5,6,1332.29,142.77,74.23,77.38,1,-1,-1,-1
5,7,1403.46,360.74,164.20,119.02,1,-1,-1,-1
5,8,1358.88,228.07,116.16,77.71,1,-1,-1,-1
5,9,693.33,330.52,140.20,93.85,1,-1,-1,-1
